,track_name,track_id,artists,artist_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,M' Manc (con Geolier & Sfera Ebbasta),0MLu1cFYL4ikdRTdasCQT9,"['Shablo', 'Geolier', 'Sfera Ebbasta']","['6hkKbkZGvAXuvle2FhCnxy', '27LlKWxS3KXW7RRAxN5S8s', '23TFHmajVfBtlRx5MXqgoz']",0.703,0.704,6,-6.117,0,0.0641,0.048,0.0,0.41,0.725,139.933,180000,4
1,Indispensabile,6StZfpZWT9IwyfdqqBj5k2,['Davide Rossi'],['0wG1NVcTvpOjGKUnSVqetO'],0.659,0.718,1,-6.075,0,0.0372,0.089,0.0,0.134,0.61,120.018,183843,4
2,Scorpione,0vkFcZZXyV8gnZGuCJ442S,"['Donzell*', 'Giuggi Situazione']","['4H866sUs33uCqVx5cIimGy', '6OPbhiNiFbkC2Hy9WNlRXz']",0.631,0.643,11,-7.604,1,0.0454,0.755,0.000108,0.0906,0.285,160.029,174000,4
3,Nebula,4mfm0COGySDHbPKCJr9jzJ,['Dial'],['0qZWeHRw63u15y7L0u7fyB'],0.457,0.513,10,-12.164,0,0.271,0.266,0.000323,0.108,0.461,124.968,209816,4
4,Dreamer nos vies,39ypweDsKFtqN2iTcmtuG5,"['RCZ', 'Dreamy BOY']","['6rR1ycLMVWsVuyms0ZwVjj', '7xjNlyVktCjfAwfLd5uJSB']",0.843,0.602,5,-7.643,0,0.36,0.766,0.0,0.108,0.696,120.114,162494,4
5,GUARDAMI,24OUjFjTIzTxiaT13GUtdG,['Menox'],['1qv8qoKc1f4YYBRRStldSD'],0.185,0.806,11,-5.021,1,0.103,0.457,0.0,0.126,0.33,177.576,138667,4
6,Sunny 2,58xBoBipVwgWmNglZVH4YH,['Mirai'],['31PhZjcZjgV2ARESmxyTPL'],0.808,0.758,1,-6.315,0,0.0487,0.277,0.0,0.112,0.953,129.008,212219,4
7,SLIME (feat. Rondodasosa),13Iu4OXlnP5vUQ0rgXR6e3,"['Lazza', 'Rondodasosa']","['0jdNdfi4vAuVi7a6cPDFBM', '61bQ4nwIioR8w6PGxzpyY3']",0.724,0.446,6,-8.521,0,0.0742,0.1,0.0,0.122,0.33,124.142,208234,4
8,Partiamo (?),1Smu0816JUgnx4m4MR0DH9,"['Qvinto M', 'EllE']","['2LogDWSrNfnntO86JS3uQ6', '1GCRZ63K9QITG6BtNSjaTH']",0.545,0.765,7,-8.276,0,0.109,0.435,0.0,0.377,0.334,89.966,184017,4
9,Casablanca,0cxXP5imdgH5Ft9XEJS8mD,['Still Noise'],['0jVTGyjdiiLRnMfJNoPvv3'],0.645,0.722,9,-7.95,0,0.129,0.444,0.0,0.124,0.427,99.849,181780,4
10,Bottiglie Privè,3E2KP5AWn6Wx0NcPstzKeo,['Sfera Ebbasta'],['23TFHmajVfBtlRx5MXqgoz'],0.669,0.618,5,-7.021,0,0.0487,0.0908,0.0,0.0934,0.206,144.905,189868,4
11,On Gang,4NR1cjgeRzp0KSTwqiJfWj,"['Thelonious B.', 'THB Kirua', 'Beak On The Night']","['7rccKwEbDm4PjYBEZFEm3A', '6Hfy8idNYqB0iujetabAGj', '3nW7Xw52V74rD3XkfTKC56']",0.723,0.641,2,-5.734,1,0.195,0.568,0.0,0.0882,0.505,104.02,154904,4
12,OCCHI,4drAb4ce3NbvX5puoDf4FB,['Yuan Bei'],['40UDbn3yIDgoD5bDZg6oho'],0.778,0.616,5,-10.257,1,0.265,0.174,0.0,0.105,0.446,150.102,211264,4
