,artists_song,track_id
0,M' Manc (con Geolier & Sfera Ebbasta) by Shablo,0MLu1cFYL4ikdRTdasCQT9
1,Indispensabile by Davide Rossi,6StZfpZWT9IwyfdqqBj5k2
2,Scorpione by Donzell*,0vkFcZZXyV8gnZGuCJ442S
3,Nebula by Dial,4mfm0COGySDHbPKCJr9jzJ
4,Dreamer nos vies by RCZ,39ypweDsKFtqN2iTcmtuG5
5,GUARDAMI by Menox,24OUjFjTIzTxiaT13GUtdG
6,Sunny 2 by Mirai,58xBoBipVwgWmNglZVH4YH
7,SLIME (feat. Rondodasosa) by Lazza,13Iu4OXlnP5vUQ0rgXR6e3
8,Partiamo (?) by Qvinto M,1Smu0816JUgnx4m4MR0DH9
9,Casablanca by Still Noise,0cxXP5imdgH5Ft9XEJS8mD
10,Bottiglie Privè by Sfera Ebbasta,3E2KP5AWn6Wx0NcPstzKeo
11,On Gang by Thelonious B.,4NR1cjgeRzp0KSTwqiJfWj
12,OCCHI by Yuan Bei,4drAb4ce3NbvX5puoDf4FB
13,"PAROLA - feat. Lazza, Emis Killa by Giaime",4XxQOwmNM0DF3bKafSJBNw
14,Torna da me by MRK,5TOqc7YCrGjsmO4hy3neXD
15,Beats Per Minute by Sei Once,50iPuXcyAfX9lwJ2aTNJYw
16,Stanotte by Ferrax,288nTJRfZLufKIKpxRD8l0
17,Pioggia per favore by Andrea Lupi,3rOFbgnORGCwvoLAuwEeXv
18,Le cose non dette by Zak Munir,2CwJobROXhpGugpcg4ngEa
19,Penso a te prod.by Ado by D4ma,1v5QO5U369UeWscsxa5rBQ
20,Vieni con me by Leonardo Mucciante,6YlqFoFxlEDT6cK5qbPHu2
21,Disegna Un Cielo by Lorenz Simonetti,4wg8u7CtKPAHgtuCS1YyRM
22,Via (Runnin' Away) by Anita Cane Violins,5Oj5tTewBBOdJNsCvPqQMa
23,Tu Settembre by Dandi,0XLBzxjfC58PAwP4CCjbye
24,Quale Blocco by THG,6a5pGMp6Rg5yqseVNF4IKx
25,No Piazza by Frisk,22WjQ5NirVeSeMp8Uy1cm5
26,SLATT (feat. Capo Plaza) by Rondodasosa,1YvhcTM8aIRTg03AavA2HJ
27,Equilibrio by G ROSE,21C7Z4IViX1yRIJAalXUvz
28,Spoil Der by Shadowboy Myzic,7t0cq539jLCV4WICqBzB9j
29,All I Want for Christmas Is You by Mariah Carey,0bYg9bo50gSsH3LtXe2SQn
30,Last Christmas by Wham!,2FRnf9qhLbvw8fu4IBXx78
31,abcdefu by GAYLE,4fouWK6XVHhzl78KzQ1UjL
